"SOPID","Title","FileName","Description","ContentPreview"
"9.4.215","9.4.215 – Manage Daily Reports","9.4.215 – Manage Daily Reports.docx","To document daily site conditions, manpower, equipment, progress, and incidents.","SOP 9.4.215 – Manage Daily Reports Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.080 – Establish Tracking & Control Systems; 9.41.165 – Conduct Safety Meetings; 9.41.175 – Conduct Quality Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ===="
"9.4.220","9.4.220 – Manage Drawing Logs","9.4.220 – Manage Drawing Logs.docx","To maintain an accurate and up-to-date drawing log, ensuring the field team works from the latest approved drawings.","SOP 9.4.220 – Manage Drawing Logs Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule; 9.41.030 – Create List of Issues & Begin RFI Process; 9.41.205 – Manage RFIs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DO"
"9.4.225","9.4.225 – Manage Specifications","9.4.225 – Manage Specifications.docx","To ensure specifications are properly logged, tracked, distributed, and accessible to all team members.","SOP 9.4.225 – Manage Specifications Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule; 9.41.200 – Manage Submittals; 9.41.220 – Manage Drawing Logs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFEREN"
"9.4.230","9.4.230 – Manage Correspondence","9.4.230 – Manage Correspondence.docx","To log, track, and store all project-related correspondence for accountability and claims protection.","SOP 9.4.230 – Manage Correspondence Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.195 – Manage Project Documentation System; 9.41.205 – Manage RFIs; 9.41.210 – Manage Meeting Minutes; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ===================="
"9.4.235","9.4.235 – Manage Permits","9.4.235 – Manage Permits.docx","To obtain, track, and maintain all project permits and inspection records required by law and contract.","SOP 9.4.235 – Manage Permits Department: Project Management / Safety / Compliance Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.090 – Setup Office Trailer; 9.41.115 – Setup Sanitary Facilities; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ==========================="
"9.4.240","9.4.240 – Manage Inspection Reports","9.4.240 – Manage Inspection Reports.docx","To ensure inspection reports (safety, quality, and compliance) are logged, distributed, and archived to support accountability and corrective actions.","SOP 9.4.240 – Manage Inspection Reports Department: Project Management / Quality / Safety Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.1 Related SOPs: 9.41.165 – Conduct Safety Meetings; 9.41.175 – Conduct Quality Meetings; 9.41.235 – Manage Permits; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Documentation Management  ================================================================================ DOCUMENT REFERENCES ====================="
"9.4.270","9.4.270 – Manage Project Communications","9.4.270 – Manage Project Communications.docx","To establish a consistent process for managing all project-related communications to ensure clarity, accountability, and traceability.","SOP 9.4.270 – Manage Project Communications Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.195 – Manage Project Documentation System; 9.41.210 – Manage Meeting Minutes; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES ==============================================="
"9.4.275","9.4.275 – Manage Internal Communications","9.4.275 – Manage Internal Communications.docx","To ensure timely and accurate communication within the GSL project team to support coordination and decision-making.","SOP 9.4.275 – Manage Internal Communications Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.150 – Conduct Project Coordination Meetings; 9.41.165 – Conduct Safety Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES ========================================="
"9.4.280","9.4.280 – Manage External Communications","9.4.280 – Manage External Communications.docx","To establish guidelines for all communications with clients, owners, architects, engineers, subcontractors, and vendors.","SOP 9.4.280 – Manage External Communications Department: Project Management / Client Relations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.160 – Conduct Client/Owner Meetings; 9.41.230 – Manage Correspondence; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES ==================================================="
"9.4.285","9.4.285 – Manage Client Owner Communications","9.4.285 – Manage Client Owner Communications.docx","To establish guidelines for consistent and professional communications with the client/owner, ensuring contractual obligations, updates, and issues are clearly documented.","SOP 9.4.285 – Manage Client / Owner Communications Department: Project Management / Client Relations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.160 – Conduct Client/Owner Meetings; 9.41.230 – Manage Correspondence; 9.41.280 – Manage External Communications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES =="
"9.4.290","9.4.290 – Manage Subcontractor Communications","9.4.290 – Manage Subcontractor Communications.docx","To establish a standard process for documenting and tracking communications with subcontractors to ensure clarity, accountability, and compliance.","SOP 9.4.290 – Manage Subcontractor Communications Department: Project Management / Subcontractor Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.155 – Conduct Subcontractor Coordination Meetings; 9.41.230 – Manage Correspondence; 9.41.280 – Manage External Communications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ D"
"9.4.295","9.4.295 – Manage Vendor Supplier Communications","9.4.295 – Manage Vendor Supplier Communications.docx","To document and manage all communications with vendors and suppliers to ensure purchase orders, delivery schedules, and technical data are accurate and traceable.","SOP 9.4.295 – Manage Vendor / Supplier Communications Department: Project Management / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.055 – Procurement of Large Feeder Wire; 9.41.200 – Manage Submittals; 9.41.230 – Manage Correspondence; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES =============="
"9.4.300","9.4.300 – Manage Architect Engineer Communications","9.4.300 – Manage Architect Engineer Communications.docx","To document and manage all communications with architects and engineers to ensure design clarifications, RFIs, and revisions are properly tracked.","SOP 9.4.300 – Manage Architect / Engineer Communications Department: Project Management / Design Coordination Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.205 – Manage RFIs; 9.41.220 – Manage Drawing Logs; 9.41.225 – Manage Specifications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES ======================"
"9.4.305","9.4.305 – Manage Regulatory Authority Communications","9.4.305 – Manage Regulatory Authority Communications.docx","To document and manage all communications with architects and engineers to ensure design clarifications, RFIs, and revisions are properly tracked.","SOP 9.41.300 – Manage Architect / Engineer Communications Department: Project Management / Design Coordination Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.205 – Manage RFIs; 9.41.220 – Manage Drawing Logs; 9.41.225 – Manage Specifications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT REFERENCES ====================="
"9.4.310","9.4.310 – Manage General Contractor Communications","9.4.310 – Manage General Contractor Communications.docx","To manage communications with the General Contractor (GC) to ensure coordination, contractual compliance, and documentation of all directives.","SOP 9.4.310 – Manage General Contractor Communications Department: Project Management / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.010 – Project Turnover Meeting; 9.41.150 – Conduct Project Coordination Meetings; 9.41.230 – Manage Correspondence; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Communication  ================================================================================ DOCUMENT "
"9.4.315","9.4.315 – Develop Project Schedule","9.4.315 – Develop Project Schedule.docx","To establish a baseline project schedule that reflects contractual milestones, critical path activities, and resource requirements.","SOP 9.4.315 – Develop Project Schedule Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule; 9.41.010 – Project Turnover Meeting; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ===================================="
"9.4.320","9.4.320 – Update Project Schedule","9.4.320 – Update Project Schedule.docx","To update the project schedule regularly, reflecting actual progress, changes, and delays, ensuring alignment with field execution.","SOP 9.4.320 – Update Project Schedule Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.315 – Develop Project Schedule; 9.41.150 – Conduct Project Coordination Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ========================================================"
"9.4.325","9.4.325 – Monitor Schedule Performance","9.4.325 – Monitor Schedule Performance.docx","To monitor schedule performance by comparing baseline, updated schedules, and actual field progress to identify variances and risks.","SOP 9.4.325 – Monitor Schedule Performance Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.320 – Update Project Schedule; 9.41.040 – Compare Estimated vs. Planned Performance; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ================================================"
"9.4.330","9.4.330 – Develop Schedule Recovery Plans","9.4.330 – Develop Schedule Recovery Plans.docx","To create corrective action plans when project schedules deviate from baseline or milestones are at risk.","SOP 9.4.330 – Develop Schedule Recovery Plans Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.325 – Monitor Schedule Performance; 9.41.040 – Compare Estimated vs. Planned Performance; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ========================================"
"9.4.335","9.4.335 – Prepare Lookahead Schedules","9.4.335 – Prepare Lookahead Schedules.docx","To prepare short-term lookahead schedules that detail upcoming work and resource requirements to guide daily and weekly field activities.","SOP 9.4.335 – Prepare Lookahead Schedules Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.320 – Update Project Schedule; 9.41.330 – Develop Schedule Recovery Plans; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ==========================================================="
"9.4.340","9.4.340 – Manage Resource Loaded Schedules","9.4.340 – Manage Resource Loaded Schedules.docx","To integrate labor, equipment, and material resources into the project schedule to provide realistic forecasts and improve resource management.","SOP 9.4.340 – Manage Resource-Loaded Schedules Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.315 – Develop Project Schedule; 9.41.335 – Prepare Lookahead Schedules; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ========================================================="
"9.4.345","9.4.345 – Conduct Schedule Review Meetings","9.4.345 – Conduct Schedule Review Meetings.docx","To review the project schedule with stakeholders at regular intervals, ensuring alignment between planned activities and field performance.","SOP 9.4.345 – Conduct Schedule Review Meetings Department: Project Management / Scheduling Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.320 – Update Project Schedule; 9.41.325 – Monitor Schedule Performance; 9.41.335 – Prepare Lookahead Schedules; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMENT REFERENCES ================="
"9.4.350","9.4.350 – Manage Schedule Change Requests","9.4.350 – Manage Schedule Change Requests.docx","To evaluate, document, and process schedule change requests to ensure all modifications are justified, approved, and properly incorporated into the project schedule.","SOP 9.4.350 – Manage Schedule Change Requests Department: Project Management / Scheduling / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.315 – Develop Project Schedule; 9.41.325 – Monitor Schedule Performance; 9.41.330 – Develop Schedule Recovery Plans; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scheduling  ================================================================================ DOCUMEN"
"9.4.355","9.4.355 – Manage Project Scope","9.4.355 – Manage Project Scope.docx","To define, communicate, and control the contractual scope of work, ensuring all team members and subcontractors understand project requirements.","SOP 9.4.355 – Manage Project Scope Department: Project Management / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.010 – Project Turnover Meeting; 9.41.315 – Develop Project Schedule; 9.41.350 – Manage Schedule Change Requests; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ==="
"9.4.360","9.4.360 – Manage Change Orders","9.4.360 – Manage Change Orders.docx","To establish a consistent company-wide procedure for identifying, pricing, approving, documenting, and billing all contract changes (RFQs, Field Change Directives, and disputed changes) in alignment with GSL Electric’s Management Directives for Project Management, Field Leadership, Estimating, and Contract Management.","STANDARD OPERATING PROCEDURE Title: Manage Change Orders SOP No.: 9.4.360 Department: Operations / Project Management Effective Date: __________________ Revision: 0 ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials: - Tab 8: Change Order Process (TheChange Order Process - Foreman.ppt, Section 2-C.c.7 Change Orders.docx) - Tab 11: Estimating Take-o"
"9.4.365","9.4.365 – Manage Potential Change Orders (PCOs)","9.4.365 – Manage Potential Change Orders (PCOs).docx","To identify, log, and track potential change orders (PCOs) before they become formal change orders, allowing proactive risk management.","SOP 9.4.365 – Manage Potential Change Orders (PCOs) Department: Project Management / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.360 – Manage Change Orders; 9.41.205 – Manage RFIs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ==============================================="
"9.4.370","9.4.370 – Manage Owner Directives","9.4.370 – Manage Owner Directives.docx","To document and manage all owner directives that modify or clarify the scope of work, ensuring contractual and financial impacts are tracked.","SOP 9.4.370 – Manage Owner Directives Department: Project Management / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.355 – Manage Project Scope; 9.41.360 – Manage Change Orders; 9.41.365 – Manage Potential Change Orders; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ========="
"9.4.375","9.4.375 – Manage Scope Clarifications","9.4.375 – Manage Scope Clarifications.docx","To capture, track, and communicate scope clarifications arising during design interpretation, RFIs, or owner/GC discussions.","SOP 9.4.375 – Manage Scope Clarifications Department: Project Management / Contract Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.355 – Manage Project Scope; 9.41.205 – Manage RFIs; 9.41.370 – Manage Owner Directives; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ====================="
"9.4.380","9.4.380 – Manage Backcharges","9.4.380 – Manage Backcharges.docx","To document, track, and process backcharges applied to subcontractors or vendors for work not performed, damaged, or corrected by GSL.","SOP 9.4.380 – Manage Backcharges Department: Project Management / Contract Administration / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.360 – Manage Change Orders; 9.41.290 – Manage Subcontractor Communications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ============================="
"9.4.385","9.4.385 – Manage Force Account Work","9.4.385 – Manage Force Account Work.docx","To document, track, and bill for force account work performed outside the contract scope but directed by the owner or GC.","SOP 9.4.385 – Manage Force Account Work Department: Project Management / Contract Administration / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.360 – Manage Change Orders; 9.41.365 – Manage Potential Change Orders; 9.41.380 – Manage Backcharges; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFEREN"
"9.4.390","9.4.390 – Manage Claims","9.4.390 – Manage Claims.docx","To document, prepare, and submit claims for additional time, cost, or damages arising from circumstances outside GSL’s control.","SOP 9.4.390 – Manage Claims Department: Project Management / Contract Administration / Legal Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.360 – Manage Change Orders; 9.41.370 – Manage Owner Directives; 9.41.385 – Manage Force Account Work; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Scope & Change Control  ================================================================================ DOCUMENT REFERENCES ============="
"9.4.400","9.4.400 – Monitor Project Costs","9.4.400 – Monitor Project Costs.docx","To monitor actual costs against the project budget, ensuring variances are detected early and corrective actions are taken.","SOP 9.4.400 – Monitor Project Costs Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.395 – Develop Project Budget; 9.41.405 – Manage Cost Forecasts; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ======================================================================="
"9.4.405","9.4.405 – Manage Cost Forecasts","9.4.405 – Manage Cost Forecasts.docx","To forecast final project costs based on current performance and anticipated trends, ensuring management has accurate projections.","SOP 9.4.405 – Manage Cost Forecasts Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.400 – Monitor Project Costs; 9.41.395 – Develop Project Budget; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ======================================================================="
"9.4.410","9.4.410 – Manage Cost Codes","9.4.410 – Manage Cost Codes.docx","To standardize and maintain cost codes for consistent budgeting, tracking, and reporting across projects.","SOP 9.4.410 – Manage Cost Codes Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.395 – Develop Project Budget; 9.41.400 – Monitor Project Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ==========================================================================="
"9.4.415","9.4.415 – Manage Committed Costs","9.4.415 – Manage Committed Costs.docx","To track and manage committed costs (purchase orders, subcontracts, and other financial commitments) against the project budget.","SOP 9.4.415 – Manage Committed Costs Department: Project Management / Accounting / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.055 – Procurement of Large Feeder Wire; 9.41.395 – Develop Project Budget; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ============================================="
"9.4.420","9.4.420 – Manage Actual Costs","9.4.420 – Manage Actual Costs.docx","To record, verify, and report actual costs incurred on the project for accurate financial tracking and reporting.","SOP 9.4.420 – Manage Actual Costs Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.400 – Monitor Project Costs; 9.41.415 – Manage Committed Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ========================================================================="
"9.4.425","9.4.425 – Manage Job Cost Reports","9.4.425 – Manage Job Cost Reports.docx","To prepare and distribute job cost reports that compare actual and committed costs to the budget, ensuring management visibility of project financial status.","SOP 9.4.425 – Manage Job Cost Reports Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.395 – Develop Project Budget; 9.41.400 – Monitor Project Costs; 9.41.420 – Manage Actual Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES ====================================="
"9.4.430","9.4.430 – Manage Profit Projections","9.4.430 – Manage Profit Projections.docx","To project project-level and portfolio-level profitability by comparing revenue, costs, and forecasts.","SOP 9.4.430 – Manage Profit Projections Department: Project Management / Accounting / Branch Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.405 – Manage Cost Forecasts; 9.41.425 – Manage Job Cost Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES =============================================="
"9.4.435","9.4.435 – Manage Cost to Complete","9.4.435 – Manage Cost to Complete.docx","To calculate and monitor cost-to-complete (CTC) values, ensuring accurate forecasting of final project costs and profitability.","SOP 9.4.435 – Manage Cost-to-Complete Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.405 – Manage Cost Forecasts; 9.41.420 – Manage Actual Costs; 9.41.430 – Manage Profit Projections; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Cost Management  ================================================================================ DOCUMENT REFERENCES =================================="
"9.4.440","9.4.440 – Prepare Billing Schedule","9.4.440 – Prepare Billing Schedule.docx","To develop a billing schedule that aligns with the project contract, milestones, and cash flow requirements.","SOP 9.4.440 – Prepare Billing Schedule Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.395 – Develop Project Budget; 9.41.430 – Manage Profit Projections; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ============================================================"
"9.4.445","9.4.445 – Prepare Monthly Pay Applications","9.4.445 – Prepare Monthly Pay Applications.docx","To prepare monthly pay applications in accordance with the contract, ensuring accurate billing of work performed and materials stored.","SOP 9.4.445 – Prepare Monthly Pay Applications Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.440 – Prepare Billing Schedule; 9.41.420 – Manage Actual Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ========================================================"
"9.4.450","9.4.450 – Track Accounts Receivable","9.4.450 – Track Accounts Receivable.docx","To track accounts receivable (AR) from submitted invoices and pay applications, ensuring timely collection of payments.","SOP 9.4.450 – Track Accounts Receivable Department: Accounting / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.445 – Prepare Monthly Pay Applications; 9.41.425 – Manage Job Cost Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ==================================================="
"9.4.455","9.4.455 – Manage Lien Waivers","9.4.455 – Manage Lien Waivers.docx","To collect, verify, and submit lien waivers in compliance with contract requirements and to protect against payment disputes.","SOP 9.4.455 – Manage Lien Waivers Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.445 – Prepare Monthly Pay Applications; 9.41.450 – Track Accounts Receivable; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ======================================================="
"9.4.460","9.4.460 – Manage Retainage","9.4.460 – Manage Retainage.docx","To track retainage withheld on pay applications and ensure proper release at substantial completion and final project closeout.","SOP 9.4.460 – Manage Retainage Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.445 – Prepare Monthly Pay Applications; 9.41.450 – Track Accounts Receivable; 9.41.465 – Manage Final Invoicing; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ======================="
"9.4.465","9.4.465 – Manage Final Invoicing","9.4.465 – Manage Final Invoicing.docx","To prepare and submit the final invoice for project payment, ensuring all conditions precedent to final payment are satisfied.","SOP 9.4.465 – Manage Final Invoicing Department: Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.265 – Manage Closeout Documentation; 9.41.455 – Manage Lien Waivers; 9.41.460 – Manage Retainage; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Billing & Invoicing  ================================================================================ DOCUMENT REFERENCES ================================"
"9.4.475","9.4.475 – Conduct Safety Orientation","9.4.475 – Conduct Safety Orientation.docx","To provide safety orientation for all employees, subcontractors, and visitors before they begin work on-site.","SOP 9.4.475 – Conduct Safety Orientation Department: Safety / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.470 – Develop Site-Specific Safety Plan; 9.41.480 – Conduct Safety Inspections; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ======================================================"
"9.4.480","9.4.480 – Conduct Safety Inspections","9.4.480 – Conduct Safety Inspections.docx","To conduct regular safety inspections of the jobsite, identify hazards, and verify compliance with OSHA and company standards.","SOP 9.4.480 – Conduct Safety Inspections Department: Safety / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.240 – Manage Inspection Reports; 9.41.470 – Develop Site-Specific Safety Plan; 9.41.475 – Conduct Safety Orientation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ================"
"9.4.485","9.4.485 – Conduct Safety Meetings","9.4.485 – Conduct Safety Meetings.docx","To conduct regular safety meetings (toolbox talks and formal sessions) to communicate safety policies, hazards, and corrective actions.","SOP 9.4.485 – Conduct Safety Meetings Department: Safety / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.165 – Conduct Safety Meetings; 9.41.470 – Develop Site-Specific Safety Plan; 9.41.480 – Conduct Safety Inspections; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ==================="
"9.4.490","9.4.490 – Report Safety Incidents","9.4.490 – Report Safety Incidents.docx","To report all safety incidents, including near misses, injuries, and property damage, in a timely and consistent manner.","SOP 9.4.490 – Report Safety Incidents Department: Safety / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.485 – Conduct Safety Meetings; 9.41.495 – Investigate Accidents; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ======================================================================"
"9.4.495","9.4.495 – Investigate Accidents","9.4.495 – Investigate Accidents.docx","To investigate accidents and near misses to identify root causes, prevent recurrence, and comply with regulatory requirements.","SOP 9.4.495 – Investigate Accidents Department: Safety / Project Management / Legal Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.490 – Report Safety Incidents; 9.41.485 – Conduct Safety Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES =============================================================="
"9.4.500","9.4.500 – Conduct Emergency Preparedness","9.4.500 – Conduct Emergency Preparedness.docx","To establish and maintain emergency preparedness procedures to ensure a safe and effective response to jobsite emergencies.","SOP 9.4.500 – Conduct Emergency Preparedness Department: Safety / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.470 – Develop Site-Specific Safety Plan; 9.41.475 – Conduct Safety Orientation; 9.41.490 – Report Safety Incidents; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ============"
