"SOPID","Title","FileName","Description"
"9.4.645","Manage Material Handling","9.4.645 – Manage Material Handling.docx","To safely and efficiently handle materials on-site, minimizing waste, damage, and productivity loss.  Scope This SOP applies to Field Supervisors, Warehouse/Logistics Personnel, and Project Managers."
"9.4.650","Manage Inventory","9.4.650 – Manage Inventory.docx","To maintain accurate inventory records of materials, tools, and equipment to ensure availability and accountability.  Scope This SOP applies to Field Supervisors, Site Administrators, and Project Managers."
"9.4.655","Prepare Procurement Reports","9.4.655 – Prepare Procurement Reports.docx","To prepare weekly and monthly procurement reports that summarize commitments, deliveries, and outstanding issues.  Scope This SOP applies to Purchasing, Project Managers, and Branch Managers."
"9.4.660","Manage Procurement Closeout","9.4.660 – Manage Procurement Closeout.docx","To close out all procurement activities by confirming that purchase orders, deliveries, and invoices are complete and reconciled.  Scope This SOP applies to Project Managers, Purchasing, and Accounting."
"9.4.665","Reconcile Procurement Accounts","9.4.665 – Reconcile Procurement Accounts.docx","To reconcile procurement accounts by confirming all commitments, invoices, and payments match and that no outstanding liabilities remain.  Scope This SOP applies to Accounting, Project Managers, and Purchasing."
"9.4.670","Manage Vendor Closeout","9.4.670 – Manage Vendor Closeout.docx","To formally close out vendor accounts by verifying completion of work, receipt of materials, and settlement of all financial obligations.  Scope This SOP applies to Purchasing, Project Managers, and Accounting."
"9.4.675","Conduct Daily Huddles","9.4.675 – Conduct Daily Huddles.docx","To conduct daily field huddles with crews to communicate work plans, hazards, and coordination needs.  Scope This SOP applies to Field Supervisors, Foremen, and Project Managers."
"9.4.680","Conduct Weekly Foreman Meetings","9.4.680 – Conduct Weekly Foreman Meetings.docx","To conduct weekly foreman meetings to review schedule, manpower, coordination issues, and site logistics.  Scope This SOP applies to Project Managers, Field Supervisors, and Foremen."
"9.4.690","Track Manpower Utilization","9.4.690 – Track Manpower Utilization.docx","To track manpower utilization daily to ensure labor is allocated effectively and productivity targets are met.  Scope This SOP applies to Project Managers, Field Supervisors, and Site Administrators."
"9.4.695","Track Production Quantities","9.4.695 – Track Production Quantities.docx","To track production quantities of installed work daily to measure productivity and progress against plan.  Scope This SOP applies to Field Supervisors, Foremen, and Project Managers."
"9.4.700","Track Equipment Utilization","9.4.700 – Track Equipment Utilization.docx","To track equipment usage daily to ensure proper allocation, cost control, and productivity.  Scope This SOP applies to Field Supervisors, Equipment Managers, and Project Managers."
"9.4.705","Manage Work Packaging","9.4.705 – Manage Work Packaging.docx","To break down project scope into manageable work packages for efficient planning, assignment, and tracking.  Scope This SOP applies to Project Managers, Field Supervisors, and Foremen."
"9.4.710","Manage Workface Planning","9.4.710 – Manage Workface Planning.docx","To implement workface planning (WFP) by providing crews with all information, materials, and tools needed before starting field tasks.  Scope This SOP applies to Project Managers, Field Supervisors, and Foremen."
"9.4.715","Manage Field Coordination","9.4.715 – Manage Field Coordination.docx","To coordinate daily field activities across crews and subcontractors, ensuring work is sequenced properly and conflicts are resolved.  Scope This SOP applies to Project Managers, Field Supervisors, and Subcontractors."
"9.4.720","Conduct Productivity Analysis","9.4.720 – Conduct Productivity Analysis.docx","To analyze field productivity by comparing actual labor hours and production against planned values, enabling corrective action.  Scope This SOP applies to Project Managers, Field Supervisors, and Accounting."
"9.4.725","Resolve Field Problems","9.4.725 – Resolve Field Problems.docx","To resolve field problems promptly to avoid delays, rework, or safety risks.  Scope This SOP applies to Field Supervisors, Project Managers, and Quality Inspectors."
"9.4.735","Perform Field Quality Verifications","9.4.735 – Perform Field Quality Verifications.docx","To perform ongoing quality verifications in the field to ensure work is performed according to drawings, specifications, and approved submittals.  Scope This SOP applies to Field Supervisors, Quality Inspectors, and Project Managers."
"9.4.745","Manage Field Rework","9.4.745 – Manage Field Rework.docx","To manage field rework systematically so deficiencies are corrected efficiently, minimizing cost and schedule impacts.  Scope This SOP applies to Project Managers, Field Supervisors, Foremen, and Quality Inspectors."
"9.4.755","Implement Field Productivity Improvements","9.4.755 – Implement Field Productivity Improvements.docx","To identify, implement, and monitor productivity improvement measures in field operations.  Scope This SOP applies to Project Managers, Field Supervisors, and Foremen."
"9.5.020","Handling and or Disposing of Excess Materials","9.5.020 – Handling and or Disposing of Excess Materials.docx","============================================================ To establish a standardized process for conducting commissioning meetings, ensuring proper coordination between all parties during the testing, verification, and turnover phases of the p..."
"9.5.550","Manage Commissioning Activities","9.5.550 – Manage Commissioning Activities.docx","============================================================ To establish a standardized process for managing all commissioning activities, ensuring systematic testing, verification, and documentation of electrical systems prior to owner turnover...."
"9.6.005","Prepare for Turnover (Field Perspective)","9.6.005 – Prepare for Turnover (Field Perspective).docx","To prepare field operations for turnover by ensuring punch lists, as-builts, and corrective actions are completed and verified.  Scope This SOP applies to Field Supervisors, Foremen, and Project Managers."
"9.6.010","Conduct Closeout Meetings","9.6.010 – Conduct Closeout Meetings.docx","============================================================ To establish a standardized process for conducting project closeout meetings, ensuring proper coordination of all closeout activities and successful project completion. =================..."
"9.6.015","Manage Project Turnover Documentation","9.6.015 – Manage Project Turnover Documentation.docx","To compile, review, and submit all turnover documentation to the Owner/GC, ensuring contractual requirements are satisfied.  Scope This SOP applies to Project Managers, Site Administrators, and Branch Managers."
"9.6.020","Manage Punch List Closeout","9.6.020 – Manage Punch List Closeout.docx","To complete and verify punch list items before project turnover.  Scope This SOP applies to Project Managers, Field Supervisors, Quality Inspectors, and Subcontractors."
"9.6.030","Manage As Built Drawings","9.6.030 – Manage As Built Drawings.docx","============================================================ To establish a standardized process for managing as-built drawings, ensuring accurate documentation of installed conditions for owner records and future maintenance. ====================..."
"9.6.035","Submit Warranties","9.6.035 – Submit Warranties.docx","To collect, verify, and submit warranties to the Owner/GC as part of turnover documentation.  Scope This SOP applies to Project Managers, Site Administrators, and Subcontractors."
"9.6.040","Submit O&M Manuals","9.6.040 – Submit O&M Manuals.docx","To submit Operations & Maintenance (O&M) manuals for equipment and systems in compliance with contract requirements.  Scope This SOP applies to Project Managers, Site Administrators, and Vendors/Subcontractors."
"9.6.050","Provide Owner Training","9.6.050 – Provide Owner Training.docx","To provide Owner training on systems and equipment to ensure proper operation and maintenance after turnover.  Scope This SOP applies to Project Managers, Vendors, Subcontractors, and the Owner/GC."
"9.6.065","Archive Project Documentation","9.6.065 – Archive Project Documentation.docx","To archive all project documentation for future reference, audits, and warranty compliance.  Scope This SOP applies to Project Managers, Site Administrators, and Branch Managers."
"9.6.070","Conduct Post Project Review","9.6.070 – Conduct Post Project Review.docx","============================================================ To establish a standardized process for conducting post-project reviews, evaluating project performance, and identifying successes and areas for improvement. ============================..."
"9.6.080","Capture Client Feedback","9.6.080 – Capture Client Feedback.docx","============================================================ To establish a standardized process for capturing client feedback at project completion, enabling continuous improvement and strengthening client relationships. =========================..."
"9.6.085","Document Lessons Learned","9.6.085 – Document Lessons Learned.docx","============================================================ To establish a standardized process for documenting lessons learned throughout and at the completion of projects, creating an organizational knowledge base for continuous improvement. ==..."
